STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
MXM00076658,"COLIMA, MX",12/23/00,,,79,,
MXM00076658,"COLIMA, MX",12/24/00,,,79,,
MXM00076658,"COLIMA, MX",12/25/00,,,76,,
MXM00076658,"COLIMA, MX",12/26/00,,,73,,
MXM00076658,"COLIMA, MX",12/27/00,,,75,,
MXM00076658,"COLIMA, MX",12/28/00,,,69,,
MXM00076658,"COLIMA, MX",12/29/00,,,67,,
MXM00076658,"COLIMA, MX",12/30/00,,,80,,
MXM00076658,"COLIMA, MX",12/31/00,,,74,,
MXM00076658,"COLIMA, MX",1/1/01,,,76,,
MXM00076658,"COLIMA, MX",1/2/01,,,76,,
MXM00076658,"COLIMA, MX",1/3/01,,,74,,
MXM00076658,"COLIMA, MX",1/4/01,,,82,,
MXM00076658,"COLIMA, MX",1/5/01,,,79,,
MXM00076658,"COLIMA, MX",1/6/01,,,78,,
MXM00076658,"COLIMA, MX",1/7/01,,,76,,
MXM00076658,"COLIMA, MX",1/8/01,,,74,,
MXM00076658,"COLIMA, MX",1/9/01,0,,72,89,64
MXM00076658,"COLIMA, MX",1/10/01,0.81,,74,84,63
MXM00076658,"COLIMA, MX",1/11/01,0.06,,75,86,63
MXM00076658,"COLIMA, MX",1/12/01,0,,76,89,63
MXM00076658,"COLIMA, MX",1/13/01,0,,78,91,63
MXM00076658,"COLIMA, MX",1/14/01,0,,79,93,63
MXM00076658,"COLIMA, MX",1/15/01,,,78,,
MXM00076658,"COLIMA, MX",1/16/01,0,,77,93,61
MXM00076658,"COLIMA, MX",1/17/01,0,,75,89,61
MXM00076658,"COLIMA, MX",1/18/01,0,,71,88,61
MXM00076658,"COLIMA, MX",1/19/01,0,,69,,
MXM00076658,"COLIMA, MX",1/20/01,0,,71,84,55
MXM00076658,"COLIMA, MX",1/21/01,0,,76,,
MXM00076658,"COLIMA, MX",1/22/01,,,75,,
MXM00076658,"COLIMA, MX",1/23/01,0,,78,92,58
MXM00076658,"COLIMA, MX",1/24/01,0,,76,91,59
MXM00076658,"COLIMA, MX",1/25/01,0,,76,90,59
MXM00076658,"COLIMA, MX",1/26/01,0,,78,,
MXM00076658,"COLIMA, MX",1/27/01,0,,77,91,57
MXM00076658,"COLIMA, MX",1/28/01,0,,76,90,57
MXM00076658,"COLIMA, MX",1/29/01,,,80,89,66
MXM00076658,"COLIMA, MX",1/30/01,0,,79,90,61
MXM00076658,"COLIMA, MX",1/31/01,,,76,,
MXM00076658,"COLIMA, MX",2/1/01,0,,78,92,62
MXM00076658,"COLIMA, MX",2/2/01,0,,76,90,61
MXM00076658,"COLIMA, MX",2/3/01,,,78,,
MXM00076658,"COLIMA, MX",2/4/01,0,,81,91,60
MXM00076658,"COLIMA, MX",2/5/01,,,81,88,65
MXM00076658,"COLIMA, MX",2/6/01,0,,80,98,64
MXM00076658,"COLIMA, MX",2/7/01,0,,80,94,63
MXM00076658,"COLIMA, MX",2/8/01,0,,80,,
MXM00076658,"COLIMA, MX",2/9/01,,,83,,
MXM00076658,"COLIMA, MX",2/10/01,,,81,96,64
MXM00076658,"COLIMA, MX",2/11/01,0,,82,96,64
MXM00076658,"COLIMA, MX",2/12/01,,,78,,
MXM00076658,"COLIMA, MX",2/13/01,0,,82,98,64
MXM00076658,"COLIMA, MX",2/14/01,0,,83,97,64
MXM00076658,"COLIMA, MX",2/15/01,0,,82,97,62
MXM00076658,"COLIMA, MX",2/16/01,0,,82,95,57
MXM00076658,"COLIMA, MX",2/17/01,,,81,,
MXM00076658,"COLIMA, MX",2/18/01,0,,81,95,61
MXM00076658,"COLIMA, MX",2/19/01,,,79,,
MXM00076658,"COLIMA, MX",2/20/01,0,,79,95,59
MXM00076658,"COLIMA, MX",2/21/01,0,,78,93,59
MXM00076658,"COLIMA, MX",2/22/01,,,74,82,63
MXM00076658,"COLIMA, MX",2/23/01,,,75,,
MXM00076658,"COLIMA, MX",2/24/01,,,76,,
MXM00076658,"COLIMA, MX",2/25/01,,,79,,
MXM00076658,"COLIMA, MX",2/26/01,,,78,,
MXM00076658,"COLIMA, MX",2/27/01,,,78,,
MXM00076658,"COLIMA, MX",2/28/01,0,,80,93,63
MXM00076658,"COLIMA, MX",3/1/01,0,,77,94,63
MXM00076658,"COLIMA, MX",3/2/01,0,,69,,
MXM00076658,"COLIMA, MX",3/3/01,,,68,,
MXM00076658,"COLIMA, MX",3/4/01,,,69,,
MXM00076658,"COLIMA, MX",3/5/01,,,74,,
MXM00076658,"COLIMA, MX",3/6/01,0,,76,89,54
MXM00076658,"COLIMA, MX",3/7/01,0,,78,91,58
MXM00076658,"COLIMA, MX",3/8/01,0,,79,93,58
MXM00076658,"COLIMA, MX",3/9/01,0,,78,94,61
MXM00076658,"COLIMA, MX",3/10/01,0,,74,91,60
MXM00076658,"COLIMA, MX",3/11/01,0,,76,87,59
MXM00076658,"COLIMA, MX",3/12/01,,,77,,
MXM00076658,"COLIMA, MX",3/13/01,0,,77,93,60
MXM00076658,"COLIMA, MX",3/14/01,0,,76,,
MXM00076658,"COLIMA, MX",3/15/01,0,,78,93,59
MXM00076658,"COLIMA, MX",3/16/01,0,,73,,
MXM00076658,"COLIMA, MX",3/17/01,0,,70,84,54
MXM00076658,"COLIMA, MX",3/18/01,0,,73,84,55
MXM00076658,"COLIMA, MX",3/19/01,,,75,88,55
MXM00076658,"COLIMA, MX",3/20/01,0,,79,,
MXM00076658,"COLIMA, MX",3/21/01,0,,80,94,59
MXM00076658,"COLIMA, MX",3/22/01,,,80,96,64
MXM00076658,"COLIMA, MX",3/23/01,0,,82,95,63
MXM00076658,"COLIMA, MX",3/24/01,0,,77,95,63
