STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/14/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/16/90,0.31,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/18/90,0.1,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/22/90,0.13,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/23/90,0.17,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/24/90,0.65,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/25/90,0.03,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/26/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/27/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/28/90,0.08,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/29/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/30/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/31/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/1/90,0.24,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/2/90,1.71,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/3/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/4/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/6/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/8/90,0.55,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/9/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/10/90,0.44,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/11/90,0.65,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/12/90,1.16,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/13/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/14/90,0.13,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/15/90,0.69,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/16/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/17/90,0.47,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/18/90,0.5,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/19/90,0.15,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/21/90,0.05,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/22/90,0.39,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/23/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/24/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/25/90,0.28,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/26/90,1.09,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/27/90,0.2,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/28/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/29/90,0.53,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,9/30/90,0.26,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/1/90,0.56,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/2/90,0.66,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/3/90,0.06,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/4/90,0.53,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/9/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/10/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/11/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/12/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/14/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/18/90,0.26,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/22/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/23/90,0.15,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/24/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/25/90,0.08,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/26/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/27/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/28/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/29/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/30/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,10/31/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,11/1/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,11/2/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,11/3/90,0,",,I"
