,Unnamed: 0,year,month,day,level_3,Title,Date,Price,Price_Change,Direction,Rate_of_Change
106,106,2007,6,24,Title,Coffee exports rise Weather Aggressive selling lowers Cbot maize prices Jamaica coffee board Anacafe concerned over Taiwan ties Indian coffee shipments set to fall by up to 15% Asian coffee supply rise may not temper prices ,6/24/07,1.09,-0.0,0,0.0
107,107,2007,6,25,Title,Kenya will cancel coffee licenses over unscrupulous practices ,6/25/07,1.0781,-0.011900000000000022,0,-0.01091743119266057
108,108,2007,6,26,Title,Indian traders want coffee output estimate reduced ,6/26/07,1.06,-0.018100000000000005,0,-0.016788795102495133
109,109,2007,6,27,Title,"Milk product prices, June 27 Indonesian residents deforest national park for crop plantations Colombian coffee farmers want emergency plan to save sector ",6/27/07,1.0595,-0.0004999999999999449,0,-0.0004716981132074952
110,110,2007,6,28,Title,McDonald's goes organic Brazil subsidises 4m bags of coffee at auction due to currency rise ,6/28/07,1.0582,-0.0013000000000000789,0,-0.001226993865030749
111,111,2007,6,29,Title,Indonesia launches cocoa board to improve farmers' conditions Indian coffee farmers driven to suicide by crop failures and low prices McDonald's organic milk deal praised ,6/29/07,1.0612,0.0029999999999998916,0,0.0028350028350027324
112,112,2007,7,1,Title,Coffee sales boost Ignored warnings Auction subsidy People and places Plummeting export demand weakens canola German black tea Improved Brazilian weather outlook depresses robusta Colombian farmers ask government for help Premature ripening lowers Brazilian quality ,7/1/07,1.0612,-0.0,0,0.0
113,113,2007,7,2,Title,Vietnam coffee exports jump 60% in first half of 2007 Papua New Guinea aiming to boost cocoa production ,7/2/07,1.0657,0.0045000000000001705,0,0.004240482472672607
114,114,2007,7,3,Title,Nepal's coffee output up by 40% this season ,7/3/07,1.0602,-0.00550000000000006,0,-0.005160927090175528
115,115,2007,7,4,Title,"McDonald's organic milk deal praised Milk product prices, July 4 ",7/4/07,1.0602,-0.0,0,0.0
