STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/8/18,0.02,",,S",55,"H,,S",67,",,S",48,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/9/18,0.01,",,S",56,"H,,S",,,,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/10/18,0,",,S",56,"H,,S",69,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/11/18,0.08,",,S",55,"H,,S",69,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/12/18,0.01,",,S",54,"H,,S",68,",,S",48,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/13/18,0.67,",,S",54,"H,,S",,,,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/14/18,0.02,",,S",56,"H,,S",69,",,S",49,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/15/18,0,",,S",54,"H,,S",68,",,S",50,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/16/18,0,",,S",55,"H,,S",,,47,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/17/18,,,55,"H,,S",68,",,S",47,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/18/18,0.16,",,S",52,"H,,S",65,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/19/18,0,",,S",55,"H,,S",,,,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/20/18,0.24,",,S",51,"H,,S",69,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/21/18,0.31,",,S",53,"H,,S",,,43,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/22/18,0,",,S",53,"H,,S",69,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/23/18,,,54,"H,,S",65,",,S",46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/24/18,0.51,",,S",51,"H,,S",63,",,S",46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/25/18,0.2,",,S",55,"H,,S",,,44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/26/18,0.01,",,S",56,"H,,S",,,46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/27/18,0.2,",,S",58,"H,,S",72,",,S",44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/28/18,0.01,",,S",57,"H,,S",72,",,S",44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/29/18,0,",,S",56,"H,,S",73,",,S",45,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/30/18,0.12,",,S",57,"H,,S",,,44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/31/18,0,",,S",55,"H,,S",70,",,S",43,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/1/18,0.04,",,S",56,"H,,S",70,",,S",46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/2/18,0,",,S",59,"H,,S",,,49,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/3/18,0.03,",,S",57,"H,,S",71,",,S",51,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/4/18,0,",,S",57,"H,,S",,,46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/5/18,0.24,",,S",58,"H,,S",,,49,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/6/18,0,",,S",60,"H,,S",74,",,S",51,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/7/18,0.04,",,S",57,"H,,S",73,",,S",46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/8/18,0.83,",,S",56,"H,,S",72,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/9/18,0.08,",,S",55,"H,,S",71,",,S",49,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/10/18,0.2,",,S",54,"H,,S",,,,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/11/18,0.59,",,S",53,"H,,S",,,,
