,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
122,122,122,2007,7,12,Title,2007-07-12,1.0546,0.009500000000000064,0,0.009090039230695691,fairtrade orange juice appears lidl el salvador coffee exports down june mcdonald open budget coffee shops japan ugandan coffee output expected rise year
123,123,123,2007,7,15,Title,2007-07-15,1.0546,-0.0,0,0.0,salvadoran coffee fall ucda closes plants chinese coffee high mcdonald coffee plan strong rupee harms indian coffee exports africa must take advantage interest its coffee high prices encourage tanzania raise output kenya intends make china its top market weather concerns fuel further climb soya trading briefs
124,124,124,2007,7,16,Title,2007-07-16,1.0417,-0.012899999999999913,0,-0.012232125924521062,bank distributes large sums zimbabwean coffee growers tata coffee struggles appreciation indian rupee commodity trading liffe hits new heights june tata open coffee shops india next five years
125,125,125,2007,7,17,Title,2007-07-17,1.0512,0.009499999999999842,0,0.00911970816933843,india plans multi million effort boost coffee consumption stable prices help uganda increase coffee exports june
126,126,126,2007,7,18,Title,2007-07-18,1.0618,0.010600000000000165,0,0.010083713850837296,milk product prices july vietnam coffee revenues surge due high us demand
127,127,127,2007,7,20,Title,2007-07-20,1.0787,0.016899999999999915,0,0.015916368430966204,starbucks plans new format locations uk coffee shops
128,128,128,2007,7,22,Title,2007-07-22,1.0787,-0.0,0,0.0,report helps sugar price three month high us coffee deliveries weather people places vietnam coffee surge sales ethical coffee rocket india finds cash marketing uganda enters period strong coffee exports
129,129,129,2007,7,24,Title,2007-07-24,1.0678,-0.01089999999999991,0,-0.01010475572448309,starbucks increases prices combat rising dairy costs starbucks raise prices us stores
130,130,130,2007,7,25,Title,2007-07-25,1.0815,0.013699999999999823,0,0.012830117999625232,starbucks increases prices combat rising dairy costs milk product prices july vietnam expects higher coffee sales year
131,131,131,2007,7,26,Title,2007-07-26,1.0903,0.008800000000000141,0,0.00813684697179856,swiss tariffs scrapped vietnam july coffee exports fall volume surge value
132,132,132,2007,7,27,Title,2007-07-27,1.0734,-0.016900000000000137,0,-0.015500321012565476,indonesia drops relief aid thousands stranded sulawesi island
133,133,133,2007,7,29,Title,2007-07-29,1.0734,-0.0,0,0.0,ivorian rubber switch asian coffee decline brazilian coffee sales vietnam coffee dip getting coffee buzz starbucks price hike marketing agents dog kenyan coffee sales better us weather causes plunge soya price vietnam eyes record coffee sales high cost robusta damages india exports
134,134,134,2007,8,1,Title,2007-08-01,1.0829,0.009500000000000064,0,0.008850381963853238,milk product prices august ugandan coffee export volumes continue rise june brazilian coffee consumption leaps first seven months year
135,135,135,2007,8,2,Title,2007-08-02,1.0773,-0.005600000000000049,0,-0.005171299288946394,sumatran arabica exports stabilise says coffee industry official
136,136,136,2007,8,3,Title,2007-08-03,1.0954,0.0181,0,0.01680126241529751,honduran coffee exports rise says national coffee board indian coffee exports decline due high prices global market
137,137,137,2007,8,5,Title,2007-08-05,1.0954,-0.0,0,0.0,funcafe coffee auction weather worries push canola price peak weather indonesian coffee fall brazil may end up losing share coffee sales sustained peace allows sumatran exports rise
138,138,138,2007,8,6,Title,2007-08-06,1.1138,0.01839999999999997,0,0.016797516888807717,volume vietnam coffee exports up july more than double brazil coffee crop under threat early flowering due heavy rains
139,139,139,2007,8,7,Title,2007-08-07,1.1184,0.00460000000000016,0,0.004130005386963692,brazil green coffee exports rise july says cecafe honduran coffee exports will beat early forecasts says official
